grid_x,grid_y,layer,direction,x,y
10260.0,1290.0,out,top,10261.000000000002,1283.0000000000002
10200.0,1290.0,out,top,10203.000000000002,1283.0000000000002
10140.0,1290.0,out,top,10145.000000000002,1283.0000000000002
10080.0,1290.0,out,top,10087.000000000002,1283.0000000000002
10035.0,1290.0,out,top,10029.000000000002,1283.0000000000002
9975.0,1290.0,out,top,9971.000000000002,1283.0000000000002
9915.0,1290.0,out,top,9913.000000000002,1283.0000000000002
9855.0,1290.0,out,top,9855.000000000002,1283.0000000000002
9795.0,1290.0,out,top,9797.000000000002,1283.0000000000002
9735.0,1290.0,out,top,9739.000000000002,1283.0000000000002
9675.0,1290.0,out,top,9681.000000000002,1283.0000000000002
9630.0,1290.0,out,top,9623.000000000002,1283.0000000000002
9570.0,1290.0,out,top,9565.000000000002,1283.0000000000002
9510.0,1290.0,out,top,9507.000000000002,1283.0000000000002
9450.0,1290.0,out,top,9449.000000000002,1283.0000000000002
9390.0,1290.0,out,top,9391.000000000002,1283.0000000000002
5850.0,1290.0,out,top,5853.000000000002,1283.0000000000002
5790.0,1290.0,out,top,5795.000000000002,1283.0000000000002
8055.0,1290.0,out,top,8057.000000000002,1283.0000000000002
7995.0,1290.0,out,top,7999.000000000002,1283.0000000000002
7935.0,1290.0,out,top,7941.000000000002,1283.0000000000002
7890.0,1290.0,out,top,7883.000000000002,1283.0000000000002
7830.0,1290.0,out,top,7825.000000000002,1283.0000000000002
7770.0,1290.0,out,top,7767.000000000002,1283.0000000000002
7710.0,1290.0,out,top,7709.000000000002,1283.0000000000002
7650.0,1290.0,out,top,7651.000000000002,1283.0000000000002
7590.0,1290.0,out,top,7593.000000000002,1283.0000000000002
7530.0,1290.0,out,top,7535.000000000002,1283.0000000000002
7470.0,1290.0,out,top,7477.000000000002,1283.0000000000002
7425.0,1290.0,out,top,7419.000000000002,1283.0000000000002
7365.0,1290.0,out,top,7361.000000000002,1283.0000000000002
7305.0,1290.0,out,top,7303.000000000002,1283.0000000000002
7245.0,1290.0,out,top,7245.000000000002,1283.0000000000002
7185.0,1290.0,out,top,7187.000000000002,1283.0000000000002
7125.0,1290.0,out,top,7129.000000000002,1283.0000000000002
7065.0,1290.0,out,top,7071.000000000002,1283.0000000000002
7020.0,1290.0,out,top,7013.000000000002,1283.0000000000002
6960.0,1290.0,out,top,6955.000000000002,1283.0000000000002
6900.0,1290.0,out,top,6897.000000000002,1283.0000000000002
6840.0,1290.0,out,top,6839.000000000002,1283.0000000000002
6780.0,1290.0,out,top,6781.000000000002,1283.0000000000002
6720.0,1290.0,out,top,6723.000000000002,1283.0000000000002
6660.0,1290.0,out,top,6665.000000000002,1283.0000000000002
6600.0,1290.0,out,top,6607.000000000002,1283.0000000000002
6555.0,1290.0,out,top,6549.000000000002,1283.0000000000002
6495.0,1290.0,out,top,6491.000000000002,1283.0000000000002
6435.0,1290.0,out,top,6433.000000000002,1283.0000000000002
6375.0,1290.0,out,top,6375.000000000002,1283.0000000000002
6315.0,1290.0,out,top,6317.000000000002,1283.0000000000002
6255.0,1290.0,out,top,6259.000000000002,1283.0000000000002
6195.0,1290.0,out,top,6201.000000000002,1283.0000000000002
6150.0,1290.0,out,top,6143.000000000002,1283.0000000000002
6090.0,1290.0,out,top,6085.000000000002,1283.0000000000002
6030.0,1290.0,out,top,6027.000000000002,1283.0000000000002
5970.0,1290.0,out,top,5969.000000000002,1283.0000000000002
5910.0,1290.0,out,top,5911.000000000002,1283.0000000000002
2610.0,1290.0,out,top,2605.0000000000005,1283.0000000000002
405.0,1290.0,out,top,401.0000000000001,1283.0000000000002
465.0,1290.0,out,top,459.0000000000001,1283.0000000000002
510.0,1290.0,out,top,517.0000000000001,1283.0000000000002
570.0,1290.0,out,top,575.0000000000001,1283.0000000000002
630.0,1290.0,out,top,633.0000000000001,1283.0000000000002
690.0,1290.0,out,top,691.0000000000001,1283.0000000000002
750.0,1290.0,out,top,749.0000000000002,1283.0000000000002
810.0,1290.0,out,top,807.0000000000002,1283.0000000000002
870.0,1290.0,out,top,865.0000000000002,1283.0000000000002
930.0,1290.0,out,top,923.0000000000002,1283.0000000000002
975.0,1290.0,out,top,981.0000000000002,1283.0000000000002
1845.0,1290.0,out,top,1851.0000000000005,1283.0000000000002
1035.0,1290.0,out,top,1039.0000000000002,1283.0000000000002
1905.0,1290.0,out,top,1909.0000000000005,1283.0000000000002
1095.0,1290.0,out,top,1097.0000000000002,1283.0000000000002
1965.0,1290.0,out,top,1967.0000000000005,1283.0000000000002
